id,title,category,expiry_date,scraped_at
KXNCAAMENTION-25DEC06UGAALA-WHAT,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-TURF,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-TRAN,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-SUSP,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-SCHE,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-SAFE,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-SABA,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-ROUG,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-RIVA,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-RECO,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-ONE,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-NIL,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-MERC,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-LATE,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-HEIS,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-FRES,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-DRAF,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-CONT,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-CONC,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-CLOC,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXNCAAMENTION-25DEC06UGAALA-BOWL,"What will  say during Georgia at Alabama college football game originally scheduled for Dec 6, 2025?",,2025-12-07T13:00:00Z,2025-12-06 13:04:23
KXHIGHLAX-25DEC06-T68,"Will the **high temp in LA** be >68° on Dec 6, 2025?",,2025-12-07T07:59:00Z,2025-12-06 13:04:23
KXHIGHLAX-25DEC06-T61,"Will the **high temp in LA** be <61° on Dec 6, 2025?",,2025-12-07T07:59:00Z,2025-12-06 13:04:23
KXHIGHLAX-25DEC06-B67.5,"Will the **high temp in LA** be 67-68° on Dec 6, 2025?",,2025-12-07T07:59:00Z,2025-12-06 13:04:23
KXHIGHLAX-25DEC06-B65.5,"Will the **high temp in LA** be 65-66° on Dec 6, 2025?",,2025-12-07T07:59:00Z,2025-12-06 13:04:23
