id,title,platform,expiry_date,yes_price,no_price,yes_volume,no_volume
KXPERFORMBONDSONG-35-DUA,Who will perform the next James Bond Song?,Kalshi,2035-01-01T15:00:00Z,0.3,0.77,1075,1075
KXPERFORMBONDSONG-35-COL,Who will perform the next James Bond Song?,Kalshi,2035-01-01T15:00:00Z,0.11,0.97,10,10
KXPERFORMBONDSONG-35-CHA,Who will perform the next James Bond Song?,Kalshi,2035-01-01T15:00:00Z,0.11,0.97,10,10
KXPERFORMBONDSONG-35-BEY,Who will perform the next James Bond Song?,Kalshi,2035-01-01T15:00:00Z,0.09,0.99,10,10
KXPERFORMBONDSONG-35-ARI,Who will perform the next James Bond Song?,Kalshi,2035-01-01T15:00:00Z,0.12,0.96,52,52
KXNEWPOPE-35-RLEO,Who will the next Pope be?,Kalshi,2035-01-01T15:00:00Z,0.04,1.0,0,0
KXNEWPOPE-35-PPAR,Who will the next Pope be?,Kalshi,2035-01-01T15:00:00Z,0.1,0.96,532,532
KXNEWPOPE-35-PERD,Who will the next Pope be?,Kalshi,2035-01-01T15:00:00Z,0.03,0.99,551,551
KXNEWPOPE-35-MZUP,Who will the next Pope be?,Kalshi,2035-01-01T15:00:00Z,0.04,0.99,287,287
KXNEWPOPE-35-LANT,Who will the next Pope be?,Kalshi,2035-01-01T15:00:00Z,0.04,1.0,0,0
KXJOHNNYDEPP-35-JOH,Will Johnny Depp be casted in the next Pirates of the Caribbean?,Kalshi,2035-01-01T15:00:00Z,0.46,0.62,3527,3527
KXBRUVSEAT-35,"Will Britain Restoring Underlying Values (""BRUV"") win a seat in the next U.K. general election?",Kalshi,2035-01-01T15:00:00Z,0.08,0.97,11755,11755
KXAFRICALEADEROUT-35-WR,Will William Ruto leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.16,0.89,234,234
KXAFRICALEADEROUT-35-TAS,Will Taye Atske Selassie leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.05,0.99,2,2
KXAFRICALEADEROUT-35-PK,Will Paul Kagame leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.05,1.0,1,1
KXAFRICALEADEROUT-35-JM,Will John Mahama leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.08,0.98,2,2
KXAFRICALEADEROUT-35-FT,Will Félix Tshisekedi leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.21,0.85,3015,3015
KXAFRICALEADEROUT-35-EM,Will Emmerson Mnangagwa leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.17,0.88,350,350
KXAFRICALEADEROUT-35-CR,Will Cyril Ramaphosa leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.08,0.98,124,124
KXAFRICALEADEROUT-35-BT,Will Bola Tinubu leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.33,0.75,6,6
KXAFRICALEADEROUT-35-AT,Will Abdelmadjid Tebboune leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.08,0.98,2,2
KXAFRICALEADEROUT-35-AFES,Will Abdel Fattah el-Sisi leave office next in this set?,Kalshi,2035-01-01T15:00:00Z,0.08,0.98,22,22
KXACTORSONNYCROCKETT-35-TOM,Will Tom Hardy be casted in the next Miami Vice?,Kalshi,2035-01-01T15:00:00Z,0.11,0.99,0,0
KXACTORSONNYCROCKETT-35-TAY,Will Taylor Kitsch be casted in the next Miami Vice?,Kalshi,2035-01-01T15:00:00Z,0.11,0.99,0,0
KXACTORSONNYCROCKETT-35-RYA,Will Ryan Gosling be casted in the next Miami Vice?,Kalshi,2035-01-01T15:00:00Z,0.18,0.93,208,208
KXACTORSONNYCROCKETT-35-RIC,Will Richard Madden be casted in the next Miami Vice?,Kalshi,2035-01-01T15:00:00Z,0.11,0.99,0,0
KXACTORSONNYCROCKETT-35-PED,Will Pedro Pascal be casted in the next Miami Vice?,Kalshi,2035-01-01T15:00:00Z,0.11,0.99,0,0
